Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,ticker,category,ecosystem
2020-01-26 00:00:00+00:00,8364.41015625,8602.4013671875,8325.498046875,8596.830078125,22177678796,0.0,0.0,BTC-USD,store-of-value,bitcoin
2020-01-27 00:00:00+00:00,8597.30859375,8977.7265625,8597.30859375,8909.8193359375,28647338393,0.0,0.0,BTC-USD,store-of-value,bitcoin
2020-01-28 00:00:00+00:00,8912.5244140625,9358.58984375,8908.447265625,9358.58984375,34398744403,0.0,0.0,BTC-USD,store-of-value,bitcoin
2020-01-29 00:00:00+00:00,9357.470703125,9406.431640625,9269.4677734375,9316.6298828125,30682598115,0.0,0.0,BTC-USD,store-of-value,bitcoin
2020-01-30 00:00:00+00:00,9316.0166015625,9553.1259765625,9230.8974609375,9508.9931640625,32378792851,0.0,0.0,BTC-USD,store-of-value,bitcoin
2020-01-31 00:00:00+00:00,9508.3134765625,9521.7060546875,9230.7763671875,9350.529296875,29432489719,0.0,0.0,BTC-USD,store-of-value,bitcoin
2020-02-01 00:00:00+00:00,9346.357421875,9439.3232421875,9313.2392578125,9392.875,25922656496,0.0,0.0,BTC-USD,store-of-value,bitcoin
2020-02-02 00:00:00+00:00,9389.8203125,9468.7978515625,9217.82421875,9344.365234375,30835736946,0.0,0.0,BTC-USD,store-of-value,bitcoin
2020-02-03 00:00:00+00:00,9344.68359375,9540.3720703125,9248.6337890625,9293.521484375,30934096509,0.0,0.0,BTC-USD,store-of-value,bitcoin
2020-02-04 00:00:00+00:00,9292.841796875,9331.265625,9112.8115234375,9180.962890625,29893183716,0.0,0.0,BTC-USD,store-of-value,bitcoin
2020-02-05 00:00:00+00:00,9183.416015625,9701.2998046875,9163.7041015625,9613.423828125,35222060874,0.0,0.0,BTC-USD,store-of-value,bitcoin
2020-02-06 00:00:00+00:00,9617.8212890625,9824.619140625,9539.818359375,9729.8017578125,37628823716,0.0,0.0,BTC-USD,store-of-value,bitcoin
2020-02-07 00:00:00+00:00,9726.0029296875,9834.716796875,9726.0029296875,9795.943359375,34522718159,0.0,0.0,BTC-USD,store-of-value,bitcoin
2020-02-08 00:00:00+00:00,9793.0703125,9876.7490234375,9678.91015625,9865.119140625,35172043762,0.0,0.0,BTC-USD,store-of-value,bitcoin
2020-02-09 00:00:00+00:00,9863.89453125,10129.435546875,9850.392578125,10116.673828125,35807884663,0.0,0.0,BTC-USD,store-of-value,bitcoin
2020-02-10 00:00:00+00:00,10115.5595703125,10165.765625,9784.5634765625,9856.611328125,39386548075,0.0,0.0,BTC-USD,store-of-value,bitcoin
2020-02-11 00:00:00+00:00,9855.8916015625,10210.052734375,9729.3349609375,10208.236328125,37648059389,0.0,0.0,BTC-USD,store-of-value,bitcoin
2020-02-12 00:00:00+00:00,10202.3876953125,10393.611328125,10202.3876953125,10326.0546875,43444303830,0.0,0.0,BTC-USD,store-of-value,bitcoin
2020-02-13 00:00:00+00:00,10323.9609375,10457.626953125,10116.1611328125,10214.3798828125,49356071373,0.0,0.0,BTC-USD,store-of-value,bitcoin
2020-02-14 00:00:00+00:00,10211.55078125,10321.99609375,10125.5341796875,10312.1162109375,43338264162,0.0,0.0,BTC-USD,store-of-value,bitcoin
